2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 13:58:35,890 [18,    80] loss: 0.3100
2023-07-23 13:59:05,692 [19,     4] loss: 0.2262
2023-07-23 13:59:05,810 [19,     8] loss: 0.1251
2023-07-23 13:59:05,921 [19,    12] loss: 0.1592
2023-07-23 13:59:06,033 [19,    16] loss: 0.1483
2023-07-23 13:59:06,148 [19,    20] loss: 0.1535
2023-07-23 13:59:06,260 [19,    24] loss: 0.1367
2023-07-23 13:59:06,372 [19,    28] loss: 0.2928
2023-07-23 13:59:06,483 [19,    32] loss: 0.1779
2023-07-23 13:59:06,595 [19,    36] loss: 0.1629
2023-07-23 13:59:06,705 [19,    40] loss: 0.1967
2023-07-23 13:59:06,817 [19,    44] loss: 0.1427
2023-07-23 13:59:06,929 [19,    48] loss: 0.2552
2023-07-23 13:59:07,040 [19,    52] loss: 0.2204
2023-07-23 13:59:07,153 [19,    56] loss: 0.1329
2023-07-23 13:59:07,265 [19,    60] loss: 0.2317
2023-07-23 13:59:07,380 [19,    64] loss: 0.2701
2023-07-23 13:59:07,493 [19,    68] loss: 0.1639
2023-07-23 13:59:07,608 [19,    72] loss: 0.2927
2023-07-23 13:59:07,728 [19,    76] loss: 0.6324
2023-07-23 13:59:07,840 [19,    80] loss: 0.3054
2023-07-23 13:59:37,284 [20,     4] loss: 0.2881
2023-07-23 13:59:37,399 [20,     8] loss: 0.2331
2023-07-23 13:59:37,511 [20,    12] loss: 0.1854
2023-07-23 13:59:37,624 [20,    16] loss: 0.2289
2023-07-23 13:59:37,735 [20,    20] loss: 0.3700
2023-07-23 13:59:37,846 [20,    24] loss: 0.1933
2023-07-23 13:59:37,957 [20,    28] loss: 0.2543
2023-07-23 13:59:38,070 [20,    32] loss: 0.2837
2023-07-23 13:59:38,184 [20,    36] loss: 0.2791
2023-07-23 13:59:38,296 [20,    40] loss: 0.2252
2023-07-23 13:59:38,409 [20,    44] loss: 0.4120
2023-07-23 13:59:38,521 [20,    48] loss: 0.2002
2023-07-23 13:59:38,633 [20,    52] loss: 0.2873
2023-07-23 13:59:38,744 [20,    56] loss: 0.4821
2023-07-23 13:59:38,858 [20,    60] loss: 0.3292
2023-07-23 13:59:38,971 [20,    64] loss: 0.5469
2023-07-23 13:59:39,084 [20,    68] loss: 0.2402
2023-07-23 13:59:39,196 [20,    72] loss: 0.4271
2023-07-23 13:59:39,308 [20,    76] loss: 0.3166
2023-07-23 13:59:39,419 [20,    80] loss: 0.2205
2023-07-23 14:00:09,078 [21,     4] loss: 0.2829
2023-07-23 14:00:09,195 [21,     8] loss: 0.1808
2023-07-23 14:00:09,306 [21,    12] loss: 0.3092
2023-07-23 14:00:09,418 [21,    16] loss: 0.3239
2023-07-23 14:00:09,530 [21,    20] loss: 0.3439
2023-07-23 14:00:09,642 [21,    24] loss: 0.2854
2023-07-23 14:00:09,754 [21,    28] loss: 0.1990
2023-07-23 14:00:09,864 [21,    32] loss: 0.1978
2023-07-23 14:00:09,976 [21,    36] loss: 0.2995
2023-07-23 14:00:10,089 [21,    40] loss: 0.2773
2023-07-23 14:00:10,200 [21,    44] loss: 0.1892
2023-07-23 14:00:10,311 [21,    48] loss: 0.2197
2023-07-23 14:00:10,421 [21,    52] loss: 0.2703
2023-07-23 14:00:10,532 [21,    56] loss: 1.0860
2023-07-23 14:00:10,644 [21,    60] loss: 0.3516
2023-07-23 14:00:10,755 [21,    64] loss: 1.5115
2023-07-23 14:00:10,865 [21,    68] loss: 0.7697
2023-07-23 14:00:10,977 [21,    72] loss: 0.6468
2023-07-23 14:00:11,092 [21,    76] loss: 0.6140
2023-07-23 14:00:11,204 [21,    80] loss: 0.8229
2023-07-23 14:00:53,992 Accuracy of the network on the validation set: 83.04308 %
2023-07-23 14:01:22,249 [22,     4] loss: 0.4237
2023-07-23 14:01:22,364 [22,     8] loss: 0.3732
2023-07-23 14:01:22,475 [22,    12] loss: 0.4301
2023-07-23 14:01:22,585 [22,    16] loss: 0.6149
